"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
25,300;0,23;-0,40;3,15
25,350;0,21;-0,23;3,32
25,400;0,20;-0,06;3,36
25,450;0,20;0,11;3,30
25,500;0,21;0,27;3,19
25,550;0,23;0,43;3,04
25,600;0,25;0,58;2,75
25,650;0,29;0,71;2,25
25,700;0,33;0,81;1,64
25,750;0,37;0,87;1,06
25,800;0,42;0,91;0,50
25,850;0,46;0,93;-0,09
25,900;0,51;0,91;-0,73
25,950;0,56;0,85;-1,33
26,000;0,60;0,77;-1,85
26,050;0,63;0,66;-2,28
26,100;0,66;0,54;-2,62
26,150;0,69;0,40;-2,88
26,200;0,70;0,25;-3,06
26,250;0,71;0,09;-3,14
26,300;0,71;-0,07;-3,14
26,350;0,71;-0,23;-3,06
26,400;0,69;-0,38;-2,91
26,450;0,67;-0,52;-2,66
26,500;0,64;-0,65;-2,33
26,550;0,60;-0,76;-1,90
26,600;0,56;-0,84;-1,37
26,650;0,52;-0,90;-0,77
26,700;0,47;-0,92;-0,16
26,750;0,42;-0,91;0,41
26,800;0,38;-0,88;0,95
26,850;0,34;-0,82;1,53
26,900;0,30;-0,72;2,09
26,950;0,26;-0,60;2,58
27,000;0,24;-0,46;2,99
27,050;0,22;-0,30;3,27
27,100;0,20;-0,13;3,38
27,150;0,20;0,04;3,30
27,200;0,21;0,20;3,20
27,250;0,22;0,36;3,12
27,300;0,25;0,52;2,94
27,350;0,28;0,67;2,51
27,400;0,31;0,78;1,87
27,450;0,35;0,85;1,24
27,500;0,40;0,90;0,69
27,550;0,45;0,92;0,14
27,600;0,49;0,91;-0,47
27,650;0,54;0,87;-1,10
27,700;0,58;0,80;-1,65
27,750;0,62;0,70;-2,11
27,800;0,65;0,59;-2,49
27,850;0,68;0,45;-2,78
27,900;0,70;0,31;-2,98
27,950;0,71;0,15;-3,09
28,000;0,71;-0,01;-3,13
28,050;0,71;-0,16;-3,09
28,100;0,70;-0,32;-2,97
28,150;0,68;-0,46;-2,76
28,200;0,65;-0,60;-2,46
28,250;0,62;-0,71;-2,07
28,300;0,58;-0,81;-1,60
28,350;0,53;-0,87;-1,04
28,400;0,49;-0,91;-0,42
28,450;0,44;-0,92;0,19
28,500;0,40;-0,89;0,75
